season,team,game_no,date,home,goals,team_opponent,goals_opponent,manager_name,manager_id
2008,Arsenal,1,2008-08-16,1,1.0,West Brom,0.0,Arsène Wenger,19
2008,Arsenal,2,2008-08-30,1,3.0,Newcastle,0.0,Arsène Wenger,19
2008,Arsenal,3,2008-09-27,1,1.0,Hull,2.0,Arsène Wenger,19
2008,Arsenal,4,2008-10-18,1,3.0,Everton,1.0,Arsène Wenger,19
2008,Arsenal,5,2008-10-29,1,4.0,Tottenham,4.0,Arsène Wenger,19
2008,Arsenal,6,2008-11-08,1,2.0,Man United,1.0,Arsène Wenger,19
2008,Arsenal,7,2008-11-15,1,0.0,Aston Villa,2.0,Arsène Wenger,19
2008,Arsenal,8,2008-12-06,1,1.0,Wigan,0.0,Arsène Wenger,19
2008,Arsenal,9,2008-12-21,1,1.0,Liverpool,1.0,Arsène Wenger,19
2008,Arsenal,10,2008-12-28,1,1.0,Portsmouth,0.0,Arsène Wenger,19
2008,Arsenal,11,2009-01-10,1,1.0,Bolton,0.0,Arsène Wenger,19
2008,Arsenal,12,2009-01-31,1,0.0,West Ham,0.0,Arsène Wenger,19
2008,Arsenal,13,2009-02-21,1,0.0,Sunderland,0.0,Arsène Wenger,19
2008,Arsenal,14,2009-02-28,1,0.0,Fulham,0.0,Arsène Wenger,19
2008,Arsenal,15,2009-03-14,1,4.0,Blackburn,0.0,Arsène Wenger,19
2008,Arsenal,16,2009-04-04,1,2.0,Man City,0.0,Arsène Wenger,19
2008,Arsenal,17,2009-04-26,1,2.0,Middlesbrough,0.0,Arsène Wenger,19
2008,Arsenal,18,2009-05-10,1,1.0,Chelsea,4.0,Arsène Wenger,19
2008,Arsenal,19,2009-05-24,1,4.0,Stoke,1.0,Arsène Wenger,19
2008,Arsenal,20,2008-08-23,0,0.0,Fulham,1.0,Arsène Wenger,19
2008,Arsenal,21,2008-09-13,0,4.0,Blackburn,0.0,Arsène Wenger,19
2008,Arsenal,22,2008-09-20,0,3.0,Bolton,1.0,Arsène Wenger,19
2008,Arsenal,23,2008-10-04,0,1.0,Sunderland,1.0,Arsène Wenger,19
2008,Arsenal,24,2008-10-26,0,2.0,West Ham,0.0,Arsène Wenger,19
2008,Arsenal,25,2008-11-01,0,1.0,Stoke,2.0,Arsène Wenger,19
2008,Arsenal,26,2008-11-22,0,0.0,Man City,3.0,Arsène Wenger,19
2008,Arsenal,27,2008-11-30,0,2.0,Chelsea,1.0,Arsène Wenger,19
2008,Arsenal,28,2008-12-13,0,1.0,Middlesbrough,1.0,Arsène Wenger,19
2008,Arsenal,29,2008-12-26,0,2.0,Aston Villa,2.0,Arsène Wenger,19
2008,Arsenal,30,2009-01-17,0,3.0,Hull,1.0,Arsène Wenger,19
2008,Arsenal,31,2009-01-28,0,1.0,Everton,1.0,Arsène Wenger,19
2008,Arsenal,32,2009-02-08,0,0.0,Tottenham,0.0,Arsène Wenger,19
2008,Arsenal,33,2009-03-03,0,3.0,West Brom,1.0,Arsène Wenger,19
2008,Arsenal,34,2009-03-21,0,3.0,Newcastle,1.0,Arsène Wenger,19
2008,Arsenal,35,2009-04-11,0,4.0,Wigan,1.0,Arsène Wenger,19
2008,Arsenal,36,2009-04-21,0,4.0,Liverpool,4.0,Arsène Wenger,19
2008,Arsenal,37,2009-05-02,0,3.0,Portsmouth,0.0,Arsène Wenger,19
2008,Arsenal,38,2009-05-16,0,0.0,Man United,0.0,Arsène Wenger,19
2008,Aston Villa,1,2008-08-17,1,4.0,Man City,2.0,Martin O'Neill,146
2008,Aston Villa,2,2008-08-31,1,0.0,Liverpool,0.0,Martin O'Neill,146
2008,Aston Villa,3,2008-09-27,1,2.0,Sunderland,1.0,Martin O'Neill,146
2008,Aston Villa,4,2008-10-18,1,0.0,Portsmouth,0.0,Martin O'Neill,146
2008,Aston Villa,5,2008-10-29,1,3.0,Blackburn,2.0,Martin O'Neill,146
2008,Aston Villa,6,2008-11-09,1,1.0,Middlesbrough,2.0,Martin O'Neill,146
2008,Aston Villa,7,2008-11-22,1,0.0,Man United,0.0,Martin O'Neill,146
